title,kind,authors,day,time,session
"How Furiously Can Colourless Green Ideas Sleep? Sentence Acceptability in Context Jey Han Lau, Carlos Santos Armendariz, Matthew Purver, Chang Shu, Shalom Lap-",TACL,pin,2020/07/06,05:00–06:00,Session 1A Cognitive Modeling and Psycholinguistics-1
Learning to Understand Child-directed and Adult-directed Speech,Short,"Lieke Gelderloos, Grzegorz Chrupała and Afra Alishahi",2020/07/06,05:00–06:00,Session 1A Cognitive Modeling and Psycholinguistics-1
Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,Long,"Alex Rinaldi, Jean Fox Tree and Snigdha Chaturvedi",2020/07/06,05:00–06:00,Session 1A Cognitive Modeling and Psycholinguistics-1
Coach: A Coarse-to-Fine Approach for Cross-domain Slot Filling,Short,"Zihan Liu, Genta Indra Winata, Peng Xu and Pascale Fung",2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
Designing Precise and Robust Dialogue Response Evaluators,Short,"Tianyu Zhao, Divesh Lala and Tatsuya Kawahara",2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
"Dialogue State Tracking with Explicit Slot Connection Modeling Yawen Ouyang, Moxin Chen, Xinyu Dai, Yinggong Zhao, Shujian Huang and Jia-",Short,jun CHEN,2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,Long,"Xiexiong Lin, Weiyu Jian, Jianshan He, Taifeng Wang and Wei Chu",2020/07/06,05:00–06:00,Session 1A Dialogue and Interactive Systems-1
"Guiding Variational Response Generator to Exploit Persona Bowen Wu, MengYuan Li, Zongsheng Wang, Yifu Chen, Derek F. Wong, qihang",Long,"feng, Junhong Huang and Baoxun Wang",2020/07/06,,
Large Scale Multi-Actor Generative Dialog Modeling,Long,"Alex Boyd, Raul Puri, Mohammad Shoeybi, Mostofa Patwary and Bryan Catanzaro",2020/07/06,,
PLATO: Pre-trained Dialogue Generation Model with Discrete Latent Vari- able,Long,"Siqi Bao, Huang He, Fan Wang, Hua Wu and Haifeng Wang",2020/07/06,,
Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rec- tiﬁcation Network,Long,"Yangming Li, Kaisheng Yao, Libo Qin, Wanxiang Che, Xiaolong Li and Ting Liu",2020/07/06,,
Span-ConveRT: Few-shot Span Extraction for Dialog with Pretrained Con- versational Representations,Short,"Samuel Coope, Tyler Farghly, Daniela Gerz, Ivan Vuli´c and Matthew Henderson",2020/07/06,,
Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dia- logue State Tracking,Long,"Giovanni Campagna, Agata Foryciarz, Mehrad Moradshahi and Monica Lam",2020/07/06,,
A Complete Shift-Reduce Chinese Discourse Parser with Robust Dynamic Oracle,Short,"Shyh-Shiun Hung, Hen-Hsen Huang and Hsin-Hsi Chen",2020/07/06,05:00–06:00,Session 1A Discourse and Pragmatics-1
TransS-Driven Joint Learning Architecture for Implicit Discourse Relation Recognition,Long,"Ruifang He, Jian Wang, Fengyu Guo and Yugui Han",2020/07/06,05:00–06:00,Session 1A Discourse and Pragmatics-1
A Study of Non-autoregressive Model for Sequence Generation,Long,"Yi Ren, Jinglin Liu, Xu Tan, Zhou Zhao, sheng zhao and Tie-Yan Liu",2020/07/06,05:00–06:00,Session 1A Generation-1
Cross-modal Language Generation using Pivot Stabilization for Web-scale Language Coverage,Long,Ashish V. Thapliyal and Radu Soricut,2020/07/06,05:00–06:00,Session 1A Generation-1
Fact-based Text Editing,Long,"Hayate Iso, Chao Qiao and Hang Li",2020/07/06,05:00–06:00,Session 1A Generation-1
Few-Shot NLG with Pre-Trained Language Model,Short,"Zhiyu Chen, Harini Eavani, Wenhu Chen, Yinyin Liu and William Yang Wang",2020/07/06,05:00–06:00,Session 1A Generation-1
Fluent Response Generation for Conversational Question Answering,Long,"Ashutosh Baheti, Alan Ritter and Kevin Small",2020/07/06,05:00–06:00,Session 1A Generation-1
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,Long,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang",2020/07/06,05:00–06:00,Session 1A Generation-1
Learning to Ask More: Semi-Autoregressive Sequential Question Genera- tion under Dual-Graph Interaction,Long,Zi Chai and Xiaojun Wan,2020/07/06,05:00–06:00,Session 1A Generation-1
Neural Syntactic Preordering for Controlled Paraphrase Generation,Long,Tanya Goyal and Greg Durrett,2020/07/06,05:00–06:00,Session 1A Generation-1
Pre-train and Plug-in: Flexible Conditional Text Generation with Varia- tional Auto-Encoders,Long,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han and Chenliang Li",2020/07/06,05:00–06:00,Session 1A Generation-1
Probabilistically Masked Language Model Capable of Autoregressive Gen- eration in Arbitrary Word Order,Long,"Yi Liao, Xin Jiang and Qun Liu",2020/07/06,05:00–06:00,Session 1A Generation-1
"Reverse Engineering Conﬁgurations of Neural Text Generation Models Yi Tay, Dara Bahri, Che Zheng, Clifford Brunk, Donald Metzler and Andrew",Short,Tomkins,2020/07/06,05:00–06:00,Session 1A Generation-1
Review-based Question Generation with Adaptive Instance Transfer and Augmentation,Long,"Qian Yu, Lidong Bing, Qiong Zhang, Wai Lam and Luo Si",2020/07/06,,
TAG : Type Auxiliary Guiding for Code Comment Generation,Long,"Ruichu Cai, Zhihao Liang, Boyan Xu, zijian li, Yuexing Hao and Yao Chen",2020/07/06,,
Unsupervised Paraphrasing by Simulated Annealing,Long,"Xianggen Liu, Lili Mou, Fandong Meng, Hao Zhou, Jie Zhou and Sen Song",2020/07/06,,
"A Joint Model for Document Segmentation and Segment Labeling Joe Barrow, Rajiv Jain, Vlad Morariu, Varun Manjunatha, Douglas Oard and Philip",Long,Resnik,2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Contextualized Weak Supervision for Text Classiﬁcation,Long,Dheeraj Mekala and Jingbo Shang,2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Every Document Owns Its Structure: Graph Neural Networks,Short,"Yufeng Zhang, Xueli Yu, Zeyu Cui, Shu Wu, Zhongzhen Wen and Liang Wang",2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
"Neural Topic Modeling with Bidirectional Adversarial Training Rui Wang, Xuemeng Hu, Deyu Zhou, Yulan He, Yuxuan Xiong, Chenchen Ye and",Long,Haiyang Xu,2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Text Classiﬁcation with Negative Supervision,Short,"Sora Ohashi, Junya Takayama, Tomoyuki Kajiwara, Chenhui Chu and Yuki Arase",2020/07/06,05:00–06:00,Session 1A Information Retrieval and Text Mining-1
Content Word Aware Neural Machine Translation,Short,"Kehai Chen, Rui Wang, Masao Utiyama and Eiichiro Sumita",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Evaluating Explanation Methods for Neural Machine Translation,Long,"Jierui Li, Lemao Liu, Huayang Li, Guanlin Li, Guoping Huang and Shuming Shi",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Jointly Masked Sequence-to-Sequence Model for Non-Autoregressive Neu- ral Machine Translation,Long,"Junliang Guo, Linli Xu and Enhong Chen",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Learning Source Phrase Representations for Neural Machine Translation,Long,"Hongfei Xu, Josef van Genabith, Deyi Xiong, Qiuhui Liu and Jingyi Zhang",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Lipschitz Constrained Parameter Initialization for Deep Transformers,Short,"Hongfei Xu, Qiuhui Liu, Josef van Genabith, Deyi Xiong and Jingyi Zhang",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Location Attention for Extrapolation to Longer Sequences,Long,"Yann Dubois, Gautier Dagan, Dieuwke Hupkes and Elia Bruni",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Multiscale Collaborative Deep Models for Neural Machine Translation,Long,"Xiangpeng Wei, Heng Yu, Yue Hu, Yue Zhang, Rongxiang Weng and Weihua Luo",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Norm-Based Curriculum Learning for Neural Machine Translation,Long,"Xuebo Liu, Houtim Lai, Derek F. Wong and Lidia S. Chao",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
Opportunistic Decoding with Timely Correction for Simultaneous Transla- tion,Short,"Renjie Zheng, Mingbo Ma, Baigong Zheng, Kaibo Liu and Liang Huang",2020/07/06,05:00–06:00,Session 1A Machine Translation-1
"A Formal Hierarchy of RNN Architectures William Merrill, Gail Weiss, Yoav Goldberg, Roy Schwartz, Noah A. Smith and",Long,Eran Yahav,2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
A Three-Parameter Rank-Frequency Relation in Natural Languages,Short,"Chenchen Ding, Masao Utiyama and Eiichiro Sumita",2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Dice Loss for Data-imbalanced NLP Tasks,Long,"Xiaoya Li, Xiaofei Sun, Yuxian Meng, Junjun Liang, Fei Wu and Jiwei Li",2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Emergence of Syntax Needs Minimal Supervision,Long,Raphaël Bailly and Kata Gábor,2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Language Models as an Alternative Evaluator of Word Order Hypotheses: A Case Study in Japanese,Long,"Tatsuki Kuribayashi, Takumi Ito, Jun Suzuki and Kentaro Inui",2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Theoretical Limitations of Self-Attention in Neural Sequence Models,TACL,Michael Hahn,2020/07/06,05:00–06:00,Session 1A Theory and Formalism in NLP (Linguistic and Mathematical)-1
Adaptive Transformers for Learning Multimodal Representations,SRW,Prajjwal Bhargava,2020/07/06,05:00–06:00,Session 1A Student Research Workshop
Story-level Text Style Transfer: A Proposal,SRW,Yusu Qian,2020/07/06,05:00–06:00,Session 1A Student Research Workshop
Unsupervised Paraphasia Classiﬁcation in Aphasic Speech,SRW,"Sharan Pai, Nikhil Sachdeva, Prince Sachdeva and Rajiv Ratn Shah",2020/07/06,05:00–06:00,Session 1A Student Research Workshop
HGCN4MeSH: Hybrid Graph Convolution Network for MeSH Indexing,SRW,"Miaomiao Yu, Yujiu Yang and Chenhui Li",2020/07/06,05:00–06:00,Session 1A Student Research Workshop
GCAN: Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media,Long,Yi-Ju Lu and Cheng-Te Li,2020/07/06,06:00–07:00,Session 1B Computational Social Science and Social Media-1
Integrating Semantic and Structural Information with Graph Convolutional Network for Controversy Detection,Long,"Lei Zhong, Juan Cao, Qiang Sheng, Junbo Guo and Ziang Wang",2020/07/06,06:00–07:00,Session 1B Computational Social Science and Social Media-1
Predicting the Topical Stance and Political Leaning of Media using Tweets,Long,"Peter Stefanov, Kareem Darwish, Atanas Atanasov and Preslav Nakov",2020/07/06,06:00–07:00,Session 1B Computational Social Science and Social Media-1
"Simple, Interpretable and Stable Method for Detecting Words with Usage Change across Corpora",Long,"Hila Gonen, Ganesh Jawahar, Djamé Seddah and Yoav Goldberg",2020/07/06,06:00–07:00,Session 1B Computational Social Science and Social Media-1
CDL: Curriculum Dual Learning for Emotion-Controllable Response Gen- eration,Long,Lei Shen and Yang Feng,2020/07/06,06:00–07:00,Session 1B Dialogue and Interactive Systems-2
CrossWOZ: A Large-Scale Chinese Cross-Domain Task-Oriented Dialogue Dataset,TACL,"Qi Zhu, Kaili Huang, Zheng Zhang, Xiaoyan Zhu, Minlie Huang",2020/07/06,06:00–07:00,Session 1B Dialogue and Interactive Systems-2
Efﬁcient Dialogue State Tracking by Selectively Overwriting Memory,Long,"Sungdong Kim, Sohee Yang, Gyuwan Kim and Sang-Woo Lee",2020/07/06,06:00–07:00,Session 1B Dialogue and Interactive Systems-2
End-to-End Neural Pipeline for Goal-Oriented Dialogue Systems using GPT-2,Long,"Donghoon Ham, Jeong-Gwan Lee, Youngsoo Jang and Kee-Eung Kim",2020/07/06,06:00–07:00,Session 1B Dialogue and Interactive Systems-2
Evaluating Dialogue Generation Systems via Response Selection,Short,"Shiki Sato, Reina Akama, Hiroki Ouchi, Jun Suzuki and Kentaro Inui",2020/07/06,06:00–07:00,Session 1B Dialogue and Interactive Systems-2
Gated Convolutional Bidirectional Attention-based Model for Off-topic Spo- ken Response Detection,Long,"Yefei Zha, Ruobing Li and Hui Lin",2020/07/06,,
Learning Low-Resource End-To-End Goal-Oriented Dialog for Fast and Reliable System Deployment,Short,"Yinpei Dai, Hangyu Li, Chengguang Tang, Yongbin Li, Jian Sun and Xiaodan Zhu",2020/07/06,,
Learning to Tag OOV Tokens by Integrating Contextual Representation and Background Knowledge,Short,"Keqing He, Yuanmeng Yan and Weiran XU",2020/07/06,,
Multi-Agent Task-Oriented Dialog Policy Learning with Role-Aware Reward Decomposition,Long,"Ryuichi Takanobu, Runze Liang and Minlie Huang",2020/07/06,,
Paraphrase Augmented Task-Oriented Dialog Generation,Long,"Silin Gao, Yichi Zhang, Zhijian Ou and Zhou Yu",2020/07/06,,
"Response-Anticipated Memory for On-Demand Knowledge Integration in Response Generation Zhiliang Tian, Wei Bi, Dongkyu Lee, Lanqing Xue, YIPING SONG, Xiaojiang Liu",Long,and Nevin L. Zhang,2020/07/06,,
Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estima- tion,Long,"Xinting Huang, Jianzhong Qi, Yu Sun and Rui Zhang",2020/07/06,,
Towards Unsupervised Language Understanding and Generation by Joint Dual Learning,Long,"Shang-Yu Su, Chao-Wei Huang and Yun-Nung Chen",2020/07/06,,
USR: An Unsupervised and Reference Free Evaluation Metric for Dialog Generation,Long,Shikib Mehri and Maxine Eskenazi,2020/07/06,,
Explicit Semantic Decomposition for Deﬁnition Generation,Long,"Jiahuan Li, Yu Bao, Shujian Huang, Xinyu Dai and Jiajun CHEN",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Improved Natural Language Generation via Loss Truncation,Long,Daniel Kang and Tatsunori Hashimoto,2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Line Graph Enhanced AMR-to-Text Generation with Mix-Order Graph At- tention Networks,Long,"Yanbin Zhao, Lu Chen, Zhi Chen, Ruisheng Cao, Su Zhu and Kai Yu",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Rigid Formats Controlled Text Generation,Long,"Piji Li, Haisong Zhang, Xiaojiang Liu and Shuming Shi",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Syn-QG: Syntactic and Shallow Semantic Rules for Question Generation,Long,Kaustubh Dhole and Christopher D. Manning,2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
An Online Semantic-enhanced Dirichlet Model for Short Text Stream Clus- tering,Long,"Jay Kumar, Junming Shao, Salah Uddin and Wazir Ali",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Generative Semantic Hashing Enhanced via Boltzmann Machines,Long,"Lin Zheng, Qinliang Su, Dinghan Shen and Changyou Chen",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Interactive Construction of User-Centric Dictionary for Text Analytics,Long,"Ryosuke Kohita, Issei Yoshida, Hiroshi Kanayama and Tetsuya Nasukawa",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Tree-Structured Neural Topic Model,Short,"Masaru Isonuma, Junichiro Mori, Danushka Bollegala and Ichiro Sakata",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
Unsupervised FAQ Retrieval with Question Generation and BERT,Short,"Yosi Mass, Boaz Carmeli, Haggai Roitman and David Konopnicki",2020/07/06,06:00–07:00,Session 1B Information Retrieval and Text Mining-2
"""The Boating Store Had Its Best Sail Ever"": Pronunciation-attentive Con- textualized Pun Recognition",Long,"Yichao Zhou, Jyun-Yu Jiang, Jieyu Zhao, Kai-Wei Chang and Wei Wang",2020/07/06,06:00–07:00,Session 1B NLP Applications-1
Fast and Accurate Deep Bidirectional Language Representations for Unsu- pervised Learning,Long,"Joongbo Shin, Yoonhyung Lee, Seunghyun Yoon and Kyomin Jung",2020/07/06,06:00–07:00,Session 1B NLP Applications-1
Fine-grained Interest Matching for Neural News Recommendation,Long,"Heyuan Wang, Fangzhao Wu, Zheng Liu and Xing Xie",2020/07/06,06:00–07:00,Session 1B NLP Applications-1
Interpretable Operational Risk Classiﬁcation with Semi-Supervised Varia- tional Autoencoder,Short,"Fan Zhou, Shengming Zhang and Yi Yang",2020/07/06,06:00–07:00,Session 1B NLP Applications-1
"Interpreting Twitter User Geolocation Ting Zhong, Tianliang Wang, Fan Zhou, Goce Trajcevski, Kunpeng Zhang and Yi",Short,Yang,2020/07/06,06:00–07:00,Session 1B NLP Applications-1
Modeling Code-Switch Languages Using Bilingual Parallel Corpus,Long,Grandee Lee and Haizhou Li,2020/07/06,06:00–07:00,Session 1B NLP Applications-1
"SpellGCN: Incorporating Phonological and Visual Similarities into Lan- guage Models for Chinese Spelling Check Xingyi Cheng, Weidi Xu, Kunlong Chen, Shaohua Jiang, Feng Wang, Taifeng",Long,"Wang, Wei Chu and Yuan Qi",2020/07/06,06:00–07:00,Session 1B NLP Applications-1
Spelling Error Correction with Soft-Masked BERT,Long,"Shaohua Zhang, Haoran Huang, Jicong Liu and Hang Li",2020/07/06,06:00–07:00,Session 1B NLP Applications-1
"A Frame-based Sentence Representation for Machine Reading Comprehen- sion Shaoru Guo, Ru Li, Hongye Tan, Xiaoli Li, Yong Guan, Hongyan Zhao and Yueping",Short,Zhang,2020/07/06,06:00–07:00,Session 1B Question Answering-1
"A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation Jan Deriu, Katsiaryna Mlynchyk, Philippe Schläpfer, Alvaro Rodrigo, Dirk von",Long,"Grünigen, Nicolas Kaiser, Kurt Stockinger, Eneko Agirre and Mark Cieliebak",2020/07/06,06:00–07:00,Session 1B Question Answering-1
Contextualized Sparse Representations for Real-Time Open-Domain Ques- tion Answering,Short,"Jinhyuk Lee, Minjoon Seo, Hannaneh Hajishirzi and Jaewoo Kang",2020/07/06,06:00–07:00,Session 1B Question Answering-1
Dynamic Sampling Strategies for Multi-Task Reading Comprehension,Short,"Ananth Gottumukkala, Dheeru Dua, Sameer Singh and Matt Gardner",2020/07/06,06:00–07:00,Session 1B Question Answering-1
"Enhancing Answer Boundary Detection for Multilingual Machine Reading Comprehension Fei Yuan, Linjun Shou, Xuanyu Bai, Ming Gong, Yaobo Liang, Nan Duan, Yan Fu",Long,and Daxin Jiang,2020/07/06,06:00–07:00,Session 1B Question Answering-1
"Explicit Memory Tracker with Coarse-to-Fine Reasoning for Conversational Machine Reading Yifan Gao, Chien-Sheng Wu, Shaﬁq Joty, Caiming Xiong, Richard Socher, Irwin",Long,"King, Michael Lyu and Steven C.H. Hoi",2020/07/06,06:00–07:00,Session 1B Question Answering-1
Injecting Numerical Reasoning Skills into Language Models,Long,"Mor Geva, Ankit Gupta and Jonathan Berant",2020/07/06,06:00–07:00,Session 1B Question Answering-1
Learning to Identify Follow-Up Questions in Conversational Question An- swering,Long,"Souvik Kundu, Qian Lin and Hwee Tou Ng",2020/07/06,06:00–07:00,Session 1B Question Answering-1
Query Graph Generation for Answering Multi-hop Complex Questions from Knowledge Bases,Short,Yunshi Lan and Jing Jiang,2020/07/06,06:00–07:00,Session 1B Question Answering-1
A Diverse Corpus for Evaluating and Developing English Math Word Prob- lem Solvers,Short,"Shen-yun Miao, Chao-Chun Liang and Keh-Yih Su",2020/07/06,06:00–07:00,Session 1B Resources and Evaluation-1
Improving Image Captioning Evaluation by Considering Inter References Variance,Long,"Yanzhi Yi, Hangyu Deng and Jinglu Hu",2020/07/06,06:00–07:00,Session 1B Resources and Evaluation-1
Revisiting the Context Window for Cross-lingual Word Embeddings,Long,Ryokan Ri and Yoshimasa Tsuruoka,2020/07/06,06:00–07:00,Session 1B Resources and Evaluation-1
Moving Down the Long Tail of Word Sense Disambiguation with Gloss In- formed Bi-encoders,Long,Terra Blevins and Luke Zettlemoyer,2020/07/06,06:00–07:00,Session 1B Semantics: Lexical-1
Grammatical Error Correction Using Pseudo Learner Corpus Considering Learner’s Error Tendency,SRW,"Yujin Takahashi, Satoru Katsumata and Mamoru Komachi",2020/07/06,06:00–07:00,Session 1B Student Research Workshop
Research on Task Discovery for Transfer Learning in Deep Neural Networks,SRW,Arda Akdemir,2020/07/06,06:00–07:00,Session 1B Student Research Workshop
RPD: A Distance Function Between Word Embeddings,SRW,"Xuhui Zhou, Shujian Huang and Zaixiang Zheng",2020/07/06,06:00–07:00,Session 1B Student Research Workshop
Reﬂection-based Word Attribute Transfer,SRW,"Yoichi Ishibashi, Katsuhito Sudoh, Koichiro Yoshino and Satoshi Nakamura",2020/07/06,06:00–07:00,Session 1B Student Research Workshop
Tabouid: a Wikipedia-based word guessing game,Demo,Timothée Bernard,2020/07/06,08:00–08:45,"[Demo] Syntactic Search by Example
Micah Shlain, Hillel Taub-Tabib, Shoval Sadde and Yoav Goldberg"
Talk to Papers: Bringing Neural Question Answering to Academic Search,Demo,Tiancheng Zhao and Kyusong Lee,2020/07/06,08:00–08:45,"[Demo] Syntactic Search by Example
Micah Shlain, Hillel Taub-Tabib, Shoval Sadde and Yoav Goldberg"
"Code-Switching Patterns Can Be an Effective Route to Improve Performance of Downstream NLP Applications: A Case Study of Humour, Sarcasm and Hate Speech Detection Srijan Bansal, Vishal Garimella, Ayush Suhane, Jasabanta Patro and Animesh",Short,Mukherjee,2020/07/06,08:00–09:00,Session 2A Computational Social Science and Social Media-2
DTCA: Decision Tree-based Co-Attention Networks for Explainable Claim Veriﬁcation,Long,"Lianwei Wu, Yuan Rao, yongqiang zhao, Hao Liang and Ambreen Nazir",2020/07/06,08:00–09:00,Session 2A Computational Social Science and Social Media-2
Integrating Semantic and Structural Information with Graph Convolutional Network for Controversy Detection,Long,"Lei Zhong, Juan Cao, Qiang Sheng, Junbo Guo and Ziang Wang",2020/07/06,08:00–09:00,Session 2A Computational Social Science and Social Media-2
Predicting the Topical Stance and Political Leaning of Media using Tweets,Long,"Peter Stefanov, Kareem Darwish, Atanas Atanasov and Preslav Nakov",2020/07/06,08:00–09:00,Session 2A Computational Social Science and Social Media-2
"Simple, Interpretable and Stable Method for Detecting Words with Usage Change across Corpora",Long,"Hila Gonen, Ganesh Jawahar, Djamé Seddah and Yoav Goldberg",2020/07/06,08:00–09:00,Session 2A Computational Social Science and Social Media-2
CDL: Curriculum Dual Learning for Emotion-Controllable Response Gen- eration,Long,Lei Shen and Yang Feng,2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Learning Low-Resource End-To-End Goal-Oriented Dialog for Fast and Reliable System Deployment,Short,"Yinpei Dai, Hangyu Li, Chengguang Tang, Yongbin Li, Jian Sun and Xiaodan Zhu",2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
"Response-Anticipated Memory for On-Demand Knowledge Integration in Response Generation Zhiliang Tian, Wei Bi, Dongkyu Lee, Lanqing Xue, YIPING SONG, Xiaojiang Liu",Long,and Nevin L. Zhang,2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Towards Conversational Recommendation over Multi-Type Dialogs,Long,"Zeming Liu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu",2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Towards Unsupervised Language Understanding and Generation by Joint Dual Learning,Long,"Shang-Yu Su, Chao-Wei Huang and Yun-Nung Chen",2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
"Unknown Intent Detection Using Gaussian Mixture Model with an Applica- tion to Zero-shot Intent Classiﬁcation Guangfeng Yan, Lu Fan, Qimai Li, Han Liu, Xiaotong Zhang, Xiao-Ming Wu and",Long,Albert Y.S. Lam,2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
"Expertise Style Transfer: A New Task Towards Better Communication be- tween Experts and Laymen Yixin Cao, Ruihao Shui, Liangming Pan, Min-Yen Kan, Zhiyuan Liu and Tat-Seng",Long,Chua,2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Fact-based Text Editing,Long,"Hayate Iso, Chao Qiao and Hang Li",2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Fluent Response Generation for Conversational Question Answering,Long,"Ashutosh Baheti, Alan Ritter and Kevin Small",2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Learning to Ask More: Semi-Autoregressive Sequential Question Genera- tion under Dual-Graph Interaction,Long,Zi Chai and Xiaojun Wan,2020/07/06,08:00–09:00,Session 2A Dialogue and Interactive Systems-3
Line Graph Enhanced AMR-to-Text Generation with Mix-Order Graph At- tention Networks,Long,"Yanbin Zhao, Lu Chen, Zhi Chen, Ruisheng Cao, Su Zhu and Kai Yu",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Probabilistically Masked Language Model Capable of Autoregressive Gen- eration in Arbitrary Word Order,Long,"Yi Liao, Xin Jiang and Qun Liu",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Review-based Question Generation with Adaptive Instance Transfer and Augmentation,Long,"Qian Yu, Lidong Bing, Qiong Zhang, Wai Lam and Luo Si",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Towards Faithful Neural Table-to-Text Generation with Content-Matching Constraints,Long,"Zhenyi Wang, Xiaoyang Wang, Bang An, Dong Yu and Changyou Chen",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Dynamic Memory Induction Networks for Few-Shot Text Classiﬁcation,Short,"Ruiying Geng, Binhua Li, Yongbin Li, Jian Sun and Xiaodan Zhu",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Every Document Owns Its Structure: Graph Neural Networks,Short,"Yufeng Zhang, Xueli Yu, Zeyu Cui, Shu Wu, Zhongzhen Wen and Liang Wang",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Exclusive Hierarchical Decoding for Deep Keyphrase Generation,Long,"Wang Chen, Hou Pong Chan, Piji Li and Irwin King",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
"Hierarchy-Aware Global Model for Hierarchical Text Classiﬁcation Jie Zhou, Chunping Ma, Dingkun Long, Guangwei Xu, Ning Ding, Haoyu Zhang,",Long,Pengjun Xie and Gongshen Liu,2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Interactive Construction of User-Centric Dictionary for Text Analytics,Long,"Ryosuke Kohita, Issei Yoshida, Hiroshi Kanayama and Tetsuya Nasukawa",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Keyphrase Generation for Scientiﬁc Document Retrieval,Short,"Florian Boudin, Ygor Gallina and Akiko Aizawa",2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
"Neural Topic Modeling with Bidirectional Adversarial Training Rui Wang, Xuemeng Hu, Deyu Zhou, Yulan He, Yuxuan Xiong, Chenchen Ye and",Long,Haiyang Xu,2020/07/06,08:00–09:00,Session 2A Information Retrieval and Text Mining-3
Text Classiﬁcation with Negative Supervision,Short,"Sora Ohashi, Junya Takayama, Tomoyuki Kajiwara, Chenhui Chu and Yuki Arase",2020/07/06,,
Tree-Structured Neural Topic Model,Short,"Masaru Isonuma, Junichiro Mori, Danushka Bollegala and Ichiro Sakata",2020/07/06,,
