title,kind,authors,day,time,session
Stanza: A Python Natural Language Processing Toolkit for Many Human Languages,Demo,"Peng Qi, Yuhao Zhang, Yuhui Zhang, Jason Bolton and Christopher D. Manning",2020/07/06,18:00–19:00,Session 4B Dialogue and Interactive Systems-8
Grounding Conversations with Improvised Dialogues,Long,Hyundong Cho and Jonathan May,2020/07/06,18:00–19:00,Session 4B Dialogue and Interactive Systems-8
Image-Chat: Engaging Grounded Conversations,Long,"Kurt Shuster, Samuel Humeau, Antoine Bordes and Jason Weston",2020/07/06,18:00–19:00,Session 4B Dialogue and Interactive Systems-8
"Learning an Unreferenced Metric for Online Dialogue Evaluation Koustuv Sinha, Prasanna Parthasarathi, Jasmine Wang, Ryan Lowe, William L.",Short,Hamilton and Joelle Pineau,2020/07/06,18:00–19:00,Session 4B Dialogue and Interactive Systems-8
Neural Generation of Dialogue Response Timings,Long,Matthew Roddy and Naomi Harte,2020/07/06,18:00–19:00,Session 4B Dialogue and Interactive Systems-8
"The Dialogue Dodecathlon: Open-Domain Knowledge and Image Grounded Conversational Agents Kurt Shuster, Da JU, Stephen Roller, Emily Dinan, Y-Lan Boureau and Jason We-",Long,ston,2020/07/06,18:00–19:00,Session 4B Dialogue and Interactive Systems-8
Automatic Poetry Generation from Prosaic Text,Long,Tim Van de Cruys,2020/07/06,18:00–19:00,Session 4B Generation-7
Bridging the Structural Gap Between Encoding and Decoding for Data-To- Text Generation,Long,"Chao Zhao, Marilyn Walker and Snigdha Chaturvedi",2020/07/06,18:00–19:00,Session 4B Generation-7
Enabling Language Models to Fill in the Blanks,Short,"Chris Donahue, Mina Lee and Percy Liang",2020/07/06,18:00–19:00,Session 4B Generation-7
"GPT-too: A Language-Model-First Approach for AMR-to-Text Generation Manuel Mager, Ramón Fernandez Astudillo, Tahira Naseem, Md Arafat Sultan,",Short,"Young-Suk Lee, Radu Florian and Salim Roukos",2020/07/06,18:00–19:00,Session 4B Generation-7
INSET: Sentence Inﬁlling with INter-SEntential Transformer,Long,"Yichen Huang, Yizhe Zhang, Oussama Elachqar and Yu Cheng",2020/07/06,18:00–19:00,Session 4B Generation-7
"Improving Adversarial Text Generation by Modeling the Distant Future Ruiyi Zhang, Changyou Chen, Zhe Gan, Wenlin Wang, Dinghan Shen, Guoyin",Long,"Wang, Zheng Wen and Lawrence Carin",2020/07/06,18:00–19:00,Session 4B Generation-7
Leveraging Pre-trained Checkpoints for Sequence Generation Tasks,TACL,"Sascha Rothe, Shashi Narayan and Aliaksei Severyn",2020/07/06,18:00–19:00,Session 4B Generation-7
Neural Syntactic Preordering for Controlled Paraphrase Generation,Long,Tanya Goyal and Greg Durrett,2020/07/06,18:00–19:00,Session 4B Generation-7
Simple and Effective Retrieve-Edit-Rerank Text Generation,Short,"Nabil Hossain, Marjan Ghazvininejad and Luke Zettlemoyer",2020/07/06,18:00–19:00,Session 4B Generation-7
"BabyWalk: Going Farther in Vision-and-Language Navigation by Taking Baby Steps Wang Zhu, Hexiang Hu, Jiacheng Chen, Zhiwei Deng, Vihan Jain, Eugene Ie and",Long,Fei Sha,2020/07/06,18:00–19:00,"Session 4B Language Grounding to Vision, Robotics and Beyond-1"
"Cross-media Structured Common Space for Multimedia Event Extraction Manling Li, Alireza Zareian, Qi Zeng, Spencer Whitehead, Di Lu, Heng Ji and",Long,Shih-Fu Chang,2020/07/06,18:00–19:00,"Session 4B Language Grounding to Vision, Robotics and Beyond-1"
"Learning to Segment Actions from Observation and Narration Daniel Fried, Jean-Baptiste Alayrac, Phil Blunsom, Chris Dyer, Stephen Clark and",Long,Aida Nematzadeh,2020/07/06,18:00–19:00,"Session 4B Language Grounding to Vision, Robotics and Beyond-1"
Learning to execute instructions in a Minecraft dialogue,Long,"Prashant Jayannavar, Anjali Narayan-Chen and Julia Hockenmaier",2020/07/06,18:00–19:00,"Session 4B Language Grounding to Vision, Robotics and Beyond-1"
MART: Memory-Augmented Recurrent Transformer for Coherent Video Paragraph Captioning,Long,"Jie Lei, Liwei Wang, Yelong Shen, Dong Yu, Tamara Berg and Mohit Bansal",2020/07/06,18:00–19:00,"Session 4B Language Grounding to Vision, Robotics and Beyond-1"
What is Learned in Visually Grounded Neural Syntax Acquisition,Short,"Noriyuki Kojima, Hadar Averbuch-Elor, Alexander Rush and Yoav Artzi",2020/07/06,18:00–19:00,"Session 4B Language Grounding to Vision, Robotics and Beyond-1"
A Batch Normalized Inference Network Keeps the KL Vanishing Away,Long,"Qile Zhu, Wei Bi, Xiaojiang Liu, Xiyao Ma, Xiaolin Li and Dapeng Wu",2020/07/06,18:00–19:00,Session 4B Machine Learning for NLP-2
Contextual Embeddings: When Are They Worth It?,Short,"Simran Arora, Avner May, Jian Zhang and Christopher Ré",2020/07/06,18:00–19:00,Session 4B Machine Learning for NLP-2
Efﬁcient Contextual Representation Learning With Continuous Outputs,TACL,"Liunian Harold Li, Patrick H. Chen, Cho-Jui Hsieh, Kai-Wei Chang",2020/07/06,18:00–19:00,Session 4B Machine Learning for NLP-2
Interactive Classiﬁcation by Asking Informative Questions,Long,"Lili Yu, Howard Chen, Sida I. Wang, Tao Lei and Yoav Artzi",2020/07/06,18:00–19:00,Session 4B Machine Learning for NLP-2
Knowledge Graph Embedding Compression,Long,Mrinmaya Sachan,2020/07/06,,
Low Resource Sequence Tagging using Sentence Reconstruction,Short,"Tal Perl, Sriram Chaudhury and Raja Giryes",2020/07/06,,
Masked Language Model Scoring,Long,"Julian Salazar, Davis Liang, Toan Q. Nguyen and Katrin Kirchhoff",2020/07/06,,
Orthogonal Relation Transforms with Graph Context Modeling for Knowl- edge Graph Embedding,Long,"Yun Tang, Jing Huang, Guangtao Wang, Xiaodong He and Bowen Zhou",2020/07/06,,
Perturbation Based Learning for Structured NLP tasks with Application to Dependency Parsing,TACL,"Amichay Doitch, Ram Yazdi, Tamir Hazan, Roi Reichart",2020/07/06,,
Posterior Calibrated Training on Sentence Classiﬁcation Tasks,Short,"Taehee Jung, Dongyeop Kang, Hua Cheng, Lucas Mentch and Thomas Schaaf",2020/07/06,,
Posterior Control of Blackbox Generation,Long,Xiang Lisa Li and Alexander Rush,2020/07/06,,
"Pretrained Transformers Improve Out-of-Distribution Robustness Dan Hendrycks, Xiaoyuan Liu, Eric Wallace, Adam Dziedzic, Rishabh Krishnan",Short,and Dawn Song,2020/07/06,,
Robust Encodings: A Framework for Combating Adversarial Typos,Long,"Erik Jones, Robin Jia, Aditi Raghunathan and Percy Liang",2020/07/06,,
Showing Your Work Doesn’t Always Work,Short,"Raphael Tang, Jaejun Lee, Ji Xin, Xinyu Liu, Yaoliang Yu and Jimmy Lin",2020/07/06,,
"Span Selection Pre-training for Question Answering Michael Glass, Alﬁo Gliozzo, Rishav Chakravarti, Anthony Ferritto, Lin Pan, G P",Long,"Shrivatsa Bhargav, Dinesh Garg and Avi Sil",2020/07/06,,
Topological Sort for Sentence Ordering,Short,"Shrimai Prabhumoye, Ruslan Salakhutdinov and Alan W Black",2020/07/06,,
Weight Poisoning Attacks on Pretrained Models,Long,"Keita Kurita, Paul Michel and Graham Neubig",2020/07/06,,
schuBERT: Optimizing Elements of BERT,Long,Ashish Khetan and Zohar Karnin,2020/07/06,,
BPE-Dropout: Simple and Effective Subword Regularization,Long,"Ivan Provilkov, Dmitrii Emelianenko and Elena Voita",2020/07/06,18:00–19:00,Session 4B Machine Translation-5
ENGINE: Energy-Based Inference Networks for Non-Autoregressive Ma- chine Translation,Short,"Lifu Tu, Richard Yuanzhe Pang, Sam Wiseman and Kevin Gimpel",2020/07/06,18:00–19:00,Session 4B Machine Translation-5
"Leveraging Monolingual Data with Self-Supervision for Multilingual Neu- ral Machine Translation Aditya Siddhant, Ankur Bapna, Yuan Cao, Orhan Firat, Mia Chen, Sneha",Short,"Kudugunta, Naveen Arivazhagan and Yonghui Wu",2020/07/06,18:00–19:00,Session 4B Machine Translation-5
Multi-Domain Neural Machine Translation with Word-Level Adaptive Layer-wise Domain Mixing,Long,"Haoming Jiang, Chen Liang, Chong Wang and Tuo Zhao",2020/07/06,18:00–19:00,Session 4B Machine Translation-5
On The Evaluation of Machine Translation SystemsTrained With Back- Translation,Long,"Sergey Edunov, Myle Ott, Marc’Aurelio Ranzato and Michael Auli",2020/07/06,18:00–19:00,Session 4B Machine Translation-5
On the Linguistic Representational Power of Neural Machine Translation Models,CL,"Yonatan Belinkov, Nadir Durrani, Fahim Dalvi, Hassan Sajjad, James Glass",2020/07/06,18:00–19:00,Session 4B Machine Translation-5
"Simultaneous Translation Policies: From Fixed to Adaptive Baigong Zheng, Kaibo Liu, Renjie Zheng, Mingbo Ma, Hairong Liu and Liang",Short,Huang,2020/07/06,18:00–19:00,Session 4B Machine Translation-5
Breaking Through the 80% Glass Ceiling: Raising the State of the Art in Word Sense Disambiguation by Incorporating Knowledge Graph Information,Long,Michele Bevilacqua and Roberto Navigli,2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Glyph2Vec: Learning Chinese Out-of-Vocabulary Word Embedding from Glyphs,Short,"Hong-You Chen, SZ-HAN YU and Shou-de Lin",2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Learning Lexical Subspaces in a Distributional Vector Space,TACL,"Kushal Arora, Aishik Chakraborty, Jackie Chi Kit Cheung",2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Moving Down the Long Tail of Word Sense Disambiguation with Gloss In- formed Bi-encoders,Long,Terra Blevins and Luke Zettlemoyer,2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Multidirectional Associative Optimization of Function-Speciﬁc Word Repre- sentations,Long,"Daniela Gerz, Ivan Vuli´c, Marek Rei, Roi Reichart and Anna Korhonen",2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Predicting Degrees of Technicality in Automatic Terminology Extraction,Short,"Anna Hätty, Dominik Schlechtweg, Michael Dorna and Sabine Schulte im Walde",2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Verbal Multiword Expressions for Identiﬁcation of Metaphor,Short,"Omid Rohanian, Marek Rei, Shiva Taslimipoor and Le An Ha",2020/07/06,18:00–19:00,Session 4B Semantics: Lexical-2
Attend to Medical Ontologies: Content Selection for Clinical Abstractive Summarization,Short,"Sajad Sotudeh Gharebagh, Nazli Goharian and Ross Filice",2020/07/06,18:00–19:00,Session 4B Student Research Workshop
On Faithfulness and Factuality in Abstractive Summarization,Long,"Joshua Maynez, Shashi Narayan, Bernd Bohnet and Ryan McDonald",2020/07/06,18:00–19:00,Session 4B Student Research Workshop
Screenplay Summarization Using Latent Narrative Structure,Long,"Pinelopi Papalampidi, Frank Keller, Lea Frermann and Mirella Lapata",2020/07/06,18:00–19:00,Session 4B Student Research Workshop
Unsupervised Opinion Summarization with Noising and Denoising,Long,Reinald Kim Amplayo and Mirella Lapata,2020/07/06,18:00–19:00,Session 4B Student Research Workshop
A Geometry-Inspired Attack for Generating Natural Language Adversarial Examples,SRW,Zhao Meng and Roger Wattenhofer,2020/07/06,18:00–19:00,Session 4B Student Research Workshop
